freq	lemme
1	être
2	je
3	de
4	ne
5	avoir
6	pas
7	la
8	tu
9	le
10	vous
11	il
12	et
13	à
14	un
15	aller
16	ça
17	faire
18	les
19	on
20	l'
21	une
22	d'
23	pour
24	des
25	dire
26	en
27	pouvoir
28	qui
29	vouloir
30	ce
31	mais
32	me
33	nous
34	dans
35	elle
36	savoir
37	du
38	y
39	t'
40	bien
41	voir
42	que
43	plus
44	non
45	te
46	mon
47	au
48	avec
49	moi
50	devoir
51	oui
52	ils
53	tout
54	se
55	venir
56	sur
57	toi
58	s'
59	ici
60	rien
61	ma
62	comme
63	lui
64	où
65	si
66	là
67	suivre
68	parler
69	prendre
70	cette
71	votre
72	quand
73	alors
74	chose
75	par
76	son
77	ton
78	croire
79	aimer
80	falloir
81	très
82	ou
83	quoi
84	bon
85	passer
86	penser
87	aussi
88	jamais
89	attendre
90	pourquoi
91	trouver
92	laisser
93	sa
94	ta
95	arriver
96	ces
97	donner
98	regarder
99	encore
100	appeler
101	est-ce que
102	homme
103	partir
104	petit
105	mes
106	toujours
107	jour
108	femme
109	temps
110	maintenant
111	notre
112	vie
113	deux
114	mettre
115	rester
116	sans
117	arrêter
118	vraiment
119	connaître
120	sûr
121	merci
122	tuer
123	comment
124	mourir
125	demander
126	même
127	peut-être
128	dieu
129	fois
130	oh
131	père
132	peu
133	comprendre
134	seul
135	quelque
136	sortir
137	an
138	trop
139	chez
140	fille
141	aux
142	monde
143	vrai
144	autre
145	besoin
146	accord
147	ses
148	ami
149	monsieur
150	enfant
151	entendre
152	voilà
153	chercher
154	heure
155	tes
156	aider
157	mère
158	déjà
159	beau
160	essayer
161	quel
162	juste
163	mieux
164	vos
165	grand
166	quelqu'un
167	beaucoup
168	revenir
169	donc
170	plaire
171	maison
172	gens
173	après
174	nuit
175	personne
176	ah
177	soir
178	nom
179	bonjour
180	jouer
181	finir
182	peur
183	parce que
184	perdre
185	maman
186	sentir
187	ouais
188	rentrer
189	avant
190	nos
191	problème
192	argent
193	quelle
194	vivre
195	rendre
196	tenir
197	cet
198	main
199	cela
200	vite
201	oublier
202	air
203	depuis
204	fils
205	travailler
206	moins
207	tête
208	coup
209	écouter
210	raison
211	manger
212	mort
213	amour
214	mal
215	entrer
216	devenir
217	hein
218	commencer
219	moment
220	dernier
221	voiture
222	demain
223	elles
224	payer
225	tirer
226	ouvrir
227	oeil
228	fait
229	changer
230	question
231	tomber
232	assez
233	foutre
234	excuser
235	affaire
236	dormir
237	combien
238	frère
239	travail
240	idée
241	eh
242	famille
243	truc
244	trois
245	tant
246	ni
247	premier
248	tous
249	occuper
250	entre
251	marcher
252	chance
253	aujourd'hui
254	envoyer
255	histoire
256	tard
257	apprendre
258	minute
259	boire
260	garder
261	quelques
262	type
263	porte
264	montrer
265	mec
266	asseoir
267	fou
268	porter
269	année
270	sous
271	souvenir
272	prêt
273	contre
274	prier
275	pendant
276	mois
277	servir
278	madame
279	putain
280	écrire
281	part
282	eau
283	sang
284	place
285	espérer
286	désoler
287	jeune
288	eux
289	retrouver
290	ville
291	terre
292	gagner
293	semaine
294	acheter
295	longtemps
296	gars
297	chambre
298	hé
299	côté
300	leur
301	vieux
302	rappeler
303	lire
304	cas
305	mot
306	seulement
307	voici
308	salut
309	monter
310	désolé
311	quitter
312	police
313	suite
314	matin
315	emmener
316	toucher
317	continuer
318	gros
319	enfin
320	mari
321	là-bas
322	revoir
323	importer
324	papa
325	puis
326	train
327	manquer
328	raconter
329	ensemble
330	mauvais
331	film
332	répondre
333	garçon
334	corps
335	celui
336	autres
337	heureux
338	loin
339	sauver
340	chaque
341	retourner
342	leurs
343	rencontrer
344	coeur
345	voler
346	fermer
347	car
348	valoir
349	descendre
350	ok
351	feu
352	docteur
353	suffire
354	façon
355	nouveau
356	important
357	sembler
358	compter
359	vers
360	joli
361	point
362	hier
363	chien
364	dont
365	guerre
366	genre
367	merde
368	meilleur
369	marier
370	arme
371	cause
372	endroit
373	ordre
374	poser
375	reste
376	pied
377	envie
378	fin
379	tiens
380	inquiéter
381	bouger
382	plutôt
383	apporter
384	pardon
385	photo
386	plein
387	devant
388	décider
389	ainsi
390	droit
391	aucune
392	vendre
393	école
394	cher
395	chef
396	tourner
397	cacher
398	boulot
399	pays
400	ceux
401	possible
402	expliquer
403	battre
404	peine
405	livre
406	agir
407	imaginer
408	tour
409	adorer
410	vérité
411	recevoir
412	gentil
413	jeter
414	pleurer
415	bébé
416	partie
417	nouvelle
418	jeu
419	amener
420	instant
421	parent
422	dur
423	service
424	plaisir
425	promettre
426	mentir
427	soeur
428	bientôt
429	lit
430	tellement
431	utiliser
432	lieu
433	coucher
434	presque
435	dehors
436	préférer
437	content
438	pauvre
439	offrir
440	roi
441	verre
442	réveiller
443	aucun
444	aide
445	d'abord
446	journée
447	préparer
448	numéro
449	permettre
450	ramener
451	enlever
452	chéri
453	fort
454	lâcher
455	choisir
456	musique
457	conduire
458	faute
459	calmer
460	mariage
461	bureau
462	route
463	chanter
464	disparaître
465	lever
466	présenter
467	accepter
468	sinon
469	long
470	café
471	propre
472	confiance
473	cinq
474	bonsoir
475	compte
476	téléphone
477	casser
478	prochain
479	frapper
480	facile
481	attention
482	rêve
483	copain
484	malade
485	rue
486	lettre
487	ignorer
488	fête
489	couper
490	esprit
491	super
492	taire
493	seigneur
494	flic
495	parfois
496	capitaine
497	âge
498	autant
499	force
500	pièce
501	quatre
502	cul
503	difficile
504	bras
505	tromper
506	surtout
507	ressembler
508	jurer
509	plan
510	prison
511	sale
512	courir
513	état
514	remettre
515	carte
516	paix
517	noir
518	exactement
519	drôle
520	refuser
521	dès
522	président
523	cours
524	grave
525	terminer
526	ciel
527	partout
528	âme
529	patron
530	amuser
531	celle
532	visage
533	intéresser
534	reconnaître
535	rire
536	médecin
537	rapport
538	pardonner
539	avis
540	embrasser
541	retour
542	simple
543	danser
544	exister
545	différent
546	souvent
547	lumière
548	génial
549	libre
550	près
551	dollar
552	sûrement
553	pareil
554	d'autres
555	hôpital
556	ceci
557	réussir
558	bizarre
559	voix
560	protéger
561	honneur
562	tôt
563	équipe
564	prévenir
565	cheval
566	ailleurs
567	maître
568	avion
569	bout
570	habiter
571	faim
572	ensuite
573	l'un
574	froid
575	normal
576	déranger
577	reprendre
578	oncle
579	prix
580	retard
581	détruire
582	cadeau
583	pousser
584	face
585	gueule
586	chemin
587	vivant
588	général
589	bateau
590	million
591	sac
592	impossible
593	seconde
594	découvrir
595	erreur
596	soleil
597	voyage
598	sauter
599	rêver
600	détester
601	clair
602	con
603	faux
604	paraître
605	balle
606	empêcher
607	maintenir
608	cheveu
609	papier
610	sujet
611	supposer
612	tranquille
613	épouser
614	blanc
615	table
616	toute
617	dix
618	clé
619	agent
620	approcher
621	sens
622	craindre
623	six
624	message
625	crier
626	salle
627	inviter
628	effet
629	réfléchir
630	espèce
631	arranger
632	naître
633	allô
634	passé
635	bois
636	propos
637	camp
638	sorte
639	hôtel
640	début
641	souffrir
642	jambe
643	remercier
644	choix
645	sécurité
646	baiser
647	avocat
648	attraper
649	client
650	courant
651	dépêcher
652	peuple
653	dame
654	dessus
655	abandonner
656	vérifier
657	journal
658	sérieux
659	brûler
660	or
661	loi
662	fond
663	gosse
664	fric
665	situation
666	euh
667	sauf
668	accident
669	doute
670	scène
671	soldat
672	amoureux
673	assurer
674	preuve
675	humain
676	mer
677	silence
678	télé
679	victime
680	complètement
681	pute
682	calme
683	derrière
684	garde
685	meurtre
686	groupe
687	crime
688	traiter
689	doucement
690	blesser
691	colonel
692	certain
693	secret
694	parole
695	triste
696	honte
697	rouge
698	dégager
699	soirée
700	dangereux
701	armée
702	filer
703	risquer
704	dos
705	appel
706	visite
707	mener
708	fleur
709	attaquer
710	coin
711	prince
712	pire
713	bordel
714	professeur
715	fumer
716	répéter
717	habitude
718	signer
719	ficher
720	mériter
721	réponse
722	rejoindre
723	discuter
724	village
725	pourtant
726	avancer
727	connerie
728	reposer
729	échapper
730	forme
731	bruit
732	chacun
733	diable
734	exemple
735	charger
736	chat
737	ennemi
738	gamin
739	rendez-vous
740	debout
741	obliger
742	trou
743	idiot
744	accompagner
745	fenêtre
746	oser
747	impression
748	intérieur
749	bouche
750	ligne
751	absolument
752	doux
753	regretter
754	mur
755	enfer
756	prouver
757	boîte
758	santé
759	t
760	dîner
761	couvrir
762	magnifique
763	obtenir
764	cuisine
765	vue
766	terrible
767	peau
768	éviter
769	salaud
770	conseil
771	plaisanter
772	autour
773	vin
774	exact
775	virer
776	supporter
777	régler
778	doigt
779	grâce
780	étrange
781	souhaiter
782	bas
783	mission
784	créer
785	chanson
786	pote
787	surveiller
788	simplement
789	recommencer
790	robe
791	chaud
792	billet
793	spécial
794	moyen
795	sympa
796	vaisseau
797	moi-même
798	coûter
799	surprise
800	poste
801	compris
802	anniversaire
803	signe
804	vol
805	couleur
806	image
807	parier
808	est
809	arbre
810	bière
811	mme
812	poisson
813	selon
814	a
815	intérêt
816	lieutenant
817	danger
818	appartenir
819	remarquer
820	animal
821	rater
822	retirer
823	bord
824	tenter
825	liberté
826	règle
827	banque
828	merveilleux
829	fier
830	partager
831	classe
832	dossier
833	ressentir
834	bonheur
835	défendre
836	but
837	bande
838	l
839	fatiguer
840	radio
841	prévoir
842	celui-là
843	haut
844	camarade
845	douter
846	oiseau
847	vent
848	recherche
849	apprécier
850	système
851	ferme
852	capable
853	fuir
854	ennui
855	tante
856	héros
857	dedans
858	excellent
859	pitié
860	appartement
861	bosser
862	respirer
863	entier
864	récupérer
865	douleur
866	libérer
867	sentiment
868	grand-père
869	société
870	lancer
871	nez
872	joie
873	relation
874	témoin
875	acteur
876	moitié
877	incroyable
878	bain
879	durer
880	marché
881	laver
882	dent
883	là-dedans
884	mademoiselle
885	adresse
886	cousin
887	riche
888	compagnie
889	sonner
890	chaussure
891	oreille
892	grand-mère
893	ancien
894	art
895	deviner
896	inutile
897	ravir
898	blague
899	avenir
900	beauté
901	laisse
902	course
903	manière
904	traverser
905	expérience
906	soin
907	hors
908	cour
909	gauche
910	stupide
911	retenir
912	liste
913	remonter
914	réaliser
915	i
916	moquer
917	étudier
918	installer
919	courage
920	bleu
921	secours
922	milieu
923	proposer
924	m
925	contact
926	inspecteur
927	mignon
928	projet
929	probablement
930	rôle
931	risque
932	action
933	ange
934	avance
935	intéressant
936	parmi
937	langue
938	emporter
939	thé
940	laquelle
941	colère
942	départ
943	époque
944	engager
945	voleur
946	cesser
947	tort
948	vacance
949	là-haut
950	machine
951	signifier
952	réparer
953	bête
954	construire
955	pain
956	bar
957	chier
958	club
959	été
960	horrible
961	profiter
962	pierre
963	pleuvoir
964	plusieurs
965	salope
966	tel
967	glace
968	présent
969	décision
970	juge
971	contrôle
972	séparer
973	sept
974	maladie
975	quartier
976	désirer
977	travers
978	dommage
979	cigarette
980	traîner
981	respecter
982	époux
983	tas
984	enfuir
985	diriger
986	crever
987	fil
988	combat
989	poursuivre
990	morceau
991	église
992	directeur
993	demande
994	forcer
995	bombe
996	j
997	lequel
998	espoir
999	tueur
1000	grandir
1001	dimanche
1002	américain
1003	taxi
1004	interdire
1005	baisser
1006	enterrer
1007	causer
1008	cool
1009	survivre
1010	cinéma
1011	commander
1012	match
1013	information
1014	toilette
1015	note
1016	gouvernement
1017	monstre
1018	censé
1019	ennuyer
1020	contraire
1021	justement
1022	montagne
1023	prêter
1024	solution
1025	nettoyer
1026	opération
1027	occasion
1028	atteindre
1029	rouler
1030	débarrasser
1031	position
1032	patient
1033	cerveau
1034	excuse
1035	ridicule
1036	avouer
1037	vêtement
1038	ben
1039	regard
1040	plaindre
1041	remplir
1042	contrôler
1043	planète
1044	taper
1045	mensonge
1046	lune
1047	personnel
1048	démon
1049	e
1050	mémoire
1051	magasin
1052	téléphoner
1053	dépendre
1054	vide
1055	jardin
1056	nature
1057	trace
1058	félicitation
1059	parfaire
1060	attaque
1061	c
1062	lait
1063	résultat
1064	camion
1065	neuf
1066	bonne
1067	étranger
1068	arrivé
1069	base
1070	renvoyer
1071	puisque
1072	reine
1073	repartir
1074	enfermer
1075	parfait
1076	drogue
1077	droite
1078	dingue
1079	huit
1080	pur
1081	île
1082	habiller
1083	refaire
1084	couteau
1085	enquête
1086	goût
1087	pensée
1088	gêner
1089	certains
1090	intelligent
1091	marre
1092	importance
1093	éteindre
1094	bouteille
1095	champ
1096	o
1097	centre
1098	rapporter
1099	coincer
1100	malheur
1101	miracle
1102	sacré
1103	réunion
1104	acte
1105	surprendre
1106	convaincre
1107	livrer
1108	quels
1109	pont
1110	faîte
1111	immédiatement
1112	caméra
1113	juger
1114	membre
1115	voie
1116	voisin
1117	différence
1118	détail
1119	annoncer
1120	environ
1121	to
1122	mille
1123	haïr
1124	test
1125	assassin
1126	officier
1127	proche
1128	commandant
1129	briser
1130	gâteau
1131	spectacle
1132	certainement
1133	métier
1134	enchanté
1135	chasser
1136	attirer
1137	chapeau
1138	allumer
1139	respect
1140	d
1141	sous-titrage
1142	étoile
1143	charmant
1144	écraser
1145	genou
1146	formidable
1147	arracher
1148	soit
1149	sorcier
1150	foi
1151	mien
1152	sourire
1153	inventer
1154	zone
1155	honnête
1156	mêler
1157	énerver
1158	exploser
1159	réalité
1160	supplier
1161	étonner
1162	superbe
1163	méchant
1164	contrat
1165	marche
1166	déposer
1167	destin
1168	urgence
1169	placer
1170	remplacer
1171	accuser
1172	celle-là
1173	vert
1174	terrain
1175	nourrir
1176	second
1177	folie
1178	presser
1179	accorder
1180	emmerder
1181	arrière
1182	reculer
1183	sexe
1184	élever
1185	nécessaire
